Starting client with ID: 1
Starting a file (upload.txt) upload...
CLIENT1:Got ACK from server with UID=8305
CLIENT1:Got ACK from server with UID=8306
CLIENT1:Got ACK from server with UID=8307
CLIENT1:Got ACK from server with UID=8308
CLIENT1:Got ACK from server with UID=8309
CLIENT1:Got ACK from server with UID=8310
CLIENT1:Got ACK from server with UID=8311
CLIENT1:Got ACK from server with UID=8312
CLIENT1:Got ACK from server with UID=8313
CLIENT1:Got ACK from server with UID=8314
CLIENT1:Got ACK from server with UID=8315
CLIENT1:Got ACK from server with UID=8316
CLIENT1:Got ACK from server with UID=8317
CLIENT1:Got ACK from server with UID=8318
CLIENT1:Got ACK from server with UID=8319
CLIENT1:Got ACK from server with UID=8320
CLIENT1:Got ACK from server with UID=8321
CLIENT1:Got ACK from server with UID=8322
CLIENT1:Got ACK from server with UID=8323
CLIENT1:Got ACK from server with UID=8324
CLIENT1:Got ACK from server with UID=8325
CLIENT1:Got ACK from server with UID=8326
CLIENT1:Got ACK from server with UID=8327
CLIENT1:Got ACK from server with UID=8328
CLIENT1:Got ACK from server with UID=8329
CLIENT1:Got ACK from server with UID=8330
CLIENT1:Got ACK from server with UID=8331
CLIENT1:Got ACK from server with UID=8332
CLIENT1:Got ACK from server with UID=8333
CLIENT1:Got ACK from server with UID=8334
CLIENT1:Got ACK from server with UID=8335
CLIENT1:Got ACK from server with UID=8336
CLIENT1:Got ACK from server with UID=8337
CLIENT1:Got ACK from server with UID=8338
CLIENT1:Got ACK from server with UID=8339
CLIENT1:Got ACK from server with UID=8340
CLIENT1:Got ACK from server with UID=8341
CLIENT1:Got ACK from server with UID=8342
CLIENT1:Got ACK from server with UID=8343
CLIENT1:Got ACK from server with UID=8344
CLIENT1:Got ACK from server with UID=8345
CLIENT1:Got ACK from server with UID=8346
CLIENT1:Got ACK from server with UID=8347
CLIENT1:Got ACK from server with UID=8348
CLIENT1:Got ACK from server with UID=8349
CLIENT1:Got ACK from server with UID=8350
CLIENT1:Got ACK from server with UID=8351
CLIENT1:Got ACK from server with UID=8352
CLIENT1:Got ACK from server with UID=8353
CLIENT1:Got ACK from server with UID=8354
CLIENT1:Got ACK from server with UID=8355
CLIENT1:Got ACK from server with UID=8356
CLIENT1:Got ACK from server with UID=8357
CLIENT1:Got ACK from server with UID=8358
CLIENT1:Got ACK from server with UID=8359
CLIENT1:Got ACK from server with UID=8360
CLIENT1:Got ACK from server with UID=8361
CLIENT1:Got ACK from server with UID=8362
CLIENT1:Got ACK from server with UID=8363
CLIENT1:Got ACK from server with UID=8364
CLIENT1:Got ACK from server with UID=8365
CLIENT1:Got ACK from server with UID=8366
CLIENT1:Got ACK from server with UID=8367
CLIENT1:Got ACK from server with UID=8368
CLIENT1:Got ACK from server with UID=8369
CLIENT1:Got ACK from server with UID=8370
CLIENT1:Got ACK from server with UID=8371
CLIENT1:Got ACK from server with UID=8372
CLIENT1:Got ACK from server with UID=8373
CLIENT1:Got ACK from server with UID=8374
CLIENT1:Got ACK from server with UID=8375
CLIENT1:Got ACK from server with UID=8376
CLIENT1:Got ACK from server with UID=8377
CLIENT1:Got ACK from server with UID=8378
CLIENT1:Got ACK from server with UID=8379
CLIENT1:Got ACK from server with UID=8380
CLIENT1:Got ACK from server with UID=8381
CLIENT1:Got ACK from server with UID=8382
CLIENT1:Got ACK from server with UID=8383
CLIENT1:Got ACK from server with UID=8384
CLIENT1:Got ACK from server with UID=8385
CLIENT1:Got ACK from server with UID=8386
CLIENT1:Got ACK from server with UID=8387
CLIENT1:Got ACK from server with UID=8388
CLIENT1:Got ACK from server with UID=8389
CLIENT1:Got ACK from server with UID=8390
CLIENT1:Got ACK from server with UID=8391
CLIENT1:Got ACK from server with UID=8392
CLIENT1:Got ACK from server with UID=8393
CLIENT1:Got ACK from server with UID=8394
CLIENT1:Got ACK from server with UID=8395
CLIENT1:Got ACK from server with UID=8396
CLIENT1:Got ACK from server with UID=8397
CLIENT1:Got ACK from server with UID=8398
CLIENT1:Got ACK from server with UID=8399
CLIENT1:Got ACK from server with UID=8400
CLIENT1:Got ACK from server with UID=8401
CLIENT1:Got ACK from server with UID=8402
CLIENT1:Got ACK from server with UID=8403
CLIENT1:Got ACK from server with UID=8404
CLIENT1:Got ACK from server with UID=8405
CLIENT1:Got ACK from server with UID=8406
CLIENT1:Got ACK from server with UID=8407
CLIENT1:Got ACK from server with UID=8408
CLIENT1:Got ACK from server with UID=8409
CLIENT1:Got ACK from server with UID=8410
CLIENT1:Got ACK from server with UID=8411
CLIENT1:Got ACK from server with UID=8412
CLIENT1:Got ACK from server with UID=8413
CLIENT1:Got ACK from server with UID=8414
CLIENT1:Got ACK from server with UID=8415
CLIENT1:Got ACK from server with UID=8416
CLIENT1:Got ACK from server with UID=8417
CLIENT1:Got ACK from server with UID=8418
CLIENT1:Got ACK from server with UID=8419
CLIENT1:Got ACK from server with UID=8420
CLIENT1:Got ACK from server with UID=8421
CLIENT1:Got ACK from server with UID=8422
CLIENT1:Got ACK from server with UID=8423
CLIENT1:Got ACK from server with UID=8424
CLIENT1:Got ACK from server with UID=8425
CLIENT1:Got ACK from server with UID=8426
CLIENT1:Got ACK from server with UID=8427
CLIENT1:Got ACK from server with UID=8428
CLIENT1:Got ACK from server with UID=8429
CLIENT1:Got ACK from server with UID=8430
CLIENT1:Got ACK from server with UID=8431
CLIENT1:Got ACK from server with UID=8432
CLIENT1:Got ACK from server with UID=8433
CLIENT1:Got ACK from server with UID=8434
CLIENT1:Got ACK from server with UID=8435
CLIENT1:Got ACK from server with UID=8436
CLIENT1:Got ACK from server with UID=8437
CLIENT1:Got ACK from server with UID=8438
CLIENT1:Got ACK from server with UID=8439
CLIENT1:Got ACK from server with UID=8440
CLIENT1:Got ACK from server with UID=8441
CLIENT1:Got ACK from server with UID=8442
CLIENT1:Got ACK from server with UID=8443
CLIENT1:Got ACK from server with UID=8444
CLIENT1:Got ACK from server with UID=8445
CLIENT1:Got ACK from server with UID=8446
CLIENT1:Got ACK from server with UID=8447
CLIENT1:Got ACK from server with UID=8448
CLIENT1:Got ACK from server with UID=8449
CLIENT1:Got ACK from server with UID=8450
CLIENT1:Got ACK from server with UID=8451
CLIENT1:Got ACK from server with UID=8452
CLIENT1:Got ACK from server with UID=8453
CLIENT1:Got ACK from server with UID=8454
CLIENT1:Got ACK from server with UID=8455
CLIENT1:Got ACK from server with UID=8456
CLIENT1:Got ACK from server with UID=8457
CLIENT1:Got ACK from server with UID=8458
CLIENT1:Got ACK from server with UID=8459
CLIENT1:Got ACK from server with UID=8460
CLIENT1:Got ACK from server with UID=8461
CLIENT1:Got ACK from server with UID=8462
CLIENT1:Got ACK from server with UID=8463
CLIENT1:Got ACK from server with UID=8464
CLIENT1:Got ACK from server with UID=8465
CLIENT1:Got ACK from server with UID=8466
CLIENT1:Got ACK from server with UID=8467
CLIENT1:Got ACK from server with UID=8468
CLIENT1:Got ACK from server with UID=8469
CLIENT1:Got ACK from server with UID=8470
CLIENT1:Got ACK from server with UID=8471
CLIENT1:Got ACK from server with UID=8472
CLIENT1:Got ACK from server with UID=8473
CLIENT1:Got ACK from server with UID=8474
CLIENT1:Got ACK from server with UID=8475
CLIENT1:Got ACK from server with UID=8476
CLIENT1:Got ACK from server with UID=8477
CLIENT1:Got ACK from server with UID=8478
CLIENT1:Got ACK from server with UID=8479
CLIENT1:Got ACK from server with UID=8480
CLIENT1:Got ACK from server with UID=8481
CLIENT1:Got ACK from server with UID=8482
CLIENT1:Got ACK from server with UID=8483
CLIENT1:Got ACK from server with UID=8484
CLIENT1:Got ACK from server with UID=8485
CLIENT1:Got ACK from server with UID=8486
CLIENT1:Got ACK from server with UID=8487
CLIENT1:Got ACK from server with UID=8488
CLIENT1:Got ACK from server with UID=8489
CLIENT1:Got ACK from server with UID=8490
CLIENT1:Got ACK from server with UID=8491
CLIENT1:Got ACK from server with UID=8492
CLIENT1:Got ACK from server with UID=8493
CLIENT1:Got ACK from server with UID=8494
CLIENT1:Got ACK from server with UID=8495
CLIENT1:Got ACK from server with UID=8496
CLIENT1:Got ACK from server with UID=8497
CLIENT1:Got ACK from server with UID=8498
CLIENT1:Got ACK from server with UID=8499
CLIENT1:Got ACK from server with UID=8500
CLIENT1:Got ACK from server with UID=8501
CLIENT1:Got ACK from server with UID=8502
CLIENT1:Got ACK from server with UID=8503
CLIENT1:Got ACK from server with UID=8504
CLIENT1:Got ACK from server with UID=8505
CLIENT1:Got ACK from server with UID=8506
CLIENT1:Got ACK from server with UID=8507
CLIENT1:Got ACK from server with UID=8508
CLIENT1:Got ACK from server with UID=8509
CLIENT1:Got ACK from server with UID=8510
CLIENT1:Got ACK from server with UID=8511
CLIENT1:Got ACK from server with UID=8512
CLIENT1:Got ACK from server with UID=8513
CLIENT1:Got ACK from server with UID=8514
CLIENT1:Got ACK from server with UID=8515
CLIENT1:Got ACK from server with UID=8516
CLIENT1:Got ACK from server with UID=8517
CLIENT1:Got ACK from server with UID=8518
CLIENT1:Got ACK from server with UID=8519
CLIENT1:Got ACK from server with UID=8520
CLIENT1:Got ACK from server with UID=8521
CLIENT1:Got ACK from server with UID=8522
CLIENT1:Got ACK from server with UID=8523
CLIENT1:Got ACK from server with UID=8524
CLIENT1:Got ACK from server with UID=8525
CLIENT1:Got ACK from server with UID=8526
CLIENT1:Got ACK from server with UID=8527
CLIENT1:Got ACK from server with UID=8528
CLIENT1:Got ACK from server with UID=8529
CLIENT1:Got ACK from server with UID=8530
CLIENT1:Got ACK from server with UID=8531
CLIENT1:Got ACK from server with UID=8532
CLIENT1:Got ACK from server with UID=8533
CLIENT1:Got ACK from server with UID=8534
CLIENT1:Got ACK from server with UID=8535
CLIENT1:Got ACK from server with UID=8536
CLIENT1:Got ACK from server with UID=8537
CLIENT1:Got ACK from server with UID=8538
CLIENT1:Got ACK from server with UID=8539
CLIENT1:Got ACK from server with UID=8540
CLIENT1:Got ACK from server with UID=8541
CLIENT1:Got ACK from server with UID=8542
CLIENT1:Got ACK from server with UID=8543
CLIENT1:Got ACK from server with UID=8544
CLIENT1:Got ACK from server with UID=8545
CLIENT1:Got ACK from server with UID=8546
CLIENT1:Got ACK from server with UID=8547
CLIENT1:Got ACK from server with UID=8548
CLIENT1:Got ACK from server with UID=8549
CLIENT1:Got ACK from server with UID=8550
CLIENT1:Got ACK from server with UID=8551
CLIENT1:Got ACK from server with UID=8552
CLIENT1:Got ACK from server with UID=8553
CLIENT1:Got ACK from server with UID=8554
CLIENT1:Got ACK from server with UID=8555
CLIENT1:Got ACK from server with UID=8556
CLIENT1:Got ACK from server with UID=8557
CLIENT1:Got ACK from server with UID=8558
CLIENT1:Got ACK from server with UID=8559
CLIENT1:Got ACK from server with UID=8560
CLIENT1:Got ACK from server with UID=8561
CLIENT1:Got ACK from server with UID=8562
CLIENT1:Got ACK from server with UID=8563
CLIENT1:Got ACK from server with UID=8564
CLIENT1:Got ACK from server with UID=8565
CLIENT1:Got ACK from server with UID=8566
CLIENT1:Got ACK from server with UID=8567
CLIENT1:Got ACK from server with UID=8568
CLIENT1:Got ACK from server with UID=8569
CLIENT1:Got ACK from server with UID=8570
CLIENT1:Got ACK from server with UID=8571
CLIENT1:Got ACK from server with UID=8572
CLIENT1:Got ACK from server with UID=8573
CLIENT1:Got ACK from server with UID=8574
CLIENT1:Got ACK from server with UID=8575
CLIENT1:Got ACK from server with UID=8576
CLIENT1:Got ACK from server with UID=8577
CLIENT1:Got ACK from server with UID=8578
CLIENT1:Got ACK from server with UID=8579
CLIENT1:Got ACK from server with UID=8580
CLIENT1:Got ACK from server with UID=8581
CLIENT1:Got ACK from server with UID=8582
CLIENT1:Got ACK from server with UID=8583
CLIENT1:Got ACK from server with UID=8584
CLIENT1:Got ACK from server with UID=8585
CLIENT1:Got ACK from server with UID=8586
CLIENT1:Got ACK from server with UID=8587
CLIENT1:Got ACK from server with UID=8588
CLIENT1:Got ACK from server with UID=8589
CLIENT1:Got ACK from server with UID=8590
CLIENT1:Got ACK from server with UID=8591
CLIENT1:Got ACK from server with UID=8592
CLIENT1:Got ACK from server with UID=8593
CLIENT1:Got ACK from server with UID=8594
CLIENT1:Got ACK from server with UID=8595
CLIENT1:Got ACK from server with UID=8596
CLIENT1:Got ACK from server with UID=8597
CLIENT1:Got ACK from server with UID=8598
CLIENT1:Got ACK from server with UID=8599
CLIENT1:Got ACK from server with UID=8600
CLIENT1:Got ACK from server with UID=8601
CLIENT1:Got ACK from server with UID=8602
CLIENT1:Got ACK from server with UID=8603
CLIENT1:Got ACK from server with UID=8604
CLIENT1:Got ACK from server with UID=8605
CLIENT1:Got ACK from server with UID=8606
CLIENT1:Got ACK from server with UID=8607
CLIENT1:Got ACK from server with UID=8608
CLIENT1:Got ACK from server with UID=8609
CLIENT1:Got ACK from server with UID=8610
CLIENT1:Got ACK from server with UID=8611
CLIENT1:Got ACK from server with UID=8612
CLIENT1:Got ACK from server with UID=8613
CLIENT1:Got ACK from server with UID=8614
CLIENT1:Got ACK from server with UID=8615
CLIENT1:Got ACK from server with UID=8616
CLIENT1:Got ACK from server with UID=8617
CLIENT1:Got ACK from server with UID=8618
CLIENT1:Got ACK from server with UID=8619
CLIENT1:Got ACK from server with UID=8620
CLIENT1:Got ACK from server with UID=8621
CLIENT1:Got ACK from server with UID=8622
CLIENT1:Got ACK from server with UID=8623
CLIENT1:Got ACK from server with UID=8624
CLIENT1:Got ACK from server with UID=8625
CLIENT1:Got ACK from server with UID=8626
CLIENT1:Got ACK from server with UID=8627
CLIENT1:Got ACK from server with UID=8628
CLIENT1:Got ACK from server with UID=8629
CLIENT1:Got ACK from server with UID=8630
CLIENT1:Got ACK from server with UID=8631
CLIENT1:Got ACK from server with UID=8632
CLIENT1:Got ACK from server with UID=8633
CLIENT1:Got ACK from server with UID=8634
CLIENT1:Got ACK from server with UID=8635
CLIENT1:Got ACK from server with UID=8636
CLIENT1:Got ACK from server with UID=8637
CLIENT1:Got ACK from server with UID=8638
CLIENT1:Got ACK from server with UID=8639
CLIENT1:Got ACK from server with UID=8640
CLIENT1:Got ACK from server with UID=8641
CLIENT1:Got ACK from server with UID=8642
CLIENT1:Got ACK from server with UID=8643
CLIENT1:Got ACK from server with UID=8644
CLIENT1:Got ACK from server with UID=8645
CLIENT1:Got ACK from server with UID=8646
CLIENT1:Got ACK from server with UID=8647
CLIENT1:Got ACK from server with UID=8648
CLIENT1:Got ACK from server with UID=8649
CLIENT1:Got ACK from server with UID=8650
CLIENT1:Got ACK from server with UID=8651
CLIENT1:Got ACK from server with UID=8652
CLIENT1:Got ACK from server with UID=8653
CLIENT1:Got ACK from server with UID=8654
CLIENT1:Got ACK from server with UID=8655
CLIENT1:Got ACK from server with UID=8656
CLIENT1:Got ACK from server with UID=8657
CLIENT1:Got ACK from server with UID=8658
CLIENT1:Got ACK from server with UID=8659
CLIENT1:Got ACK from server with UID=8660
CLIENT1:Got ACK from server with UID=8661
CLIENT1:Got ACK from server with UID=8662
CLIENT1:Got ACK from server with UID=8663
CLIENT1:Got ACK from server with UID=8664
CLIENT1:Got ACK from server with UID=8665
CLIENT1:Got ACK from server with UID=8666
CLIENT1:Got ACK from server with UID=8667
CLIENT1:Got ACK from server with UID=8668
CLIENT1:Got ACK from server with UID=8669
CLIENT1:Got ACK from server with UID=8670
CLIENT1:Got ACK from server with UID=8671
CLIENT1:Got ACK from server with UID=8672
CLIENT1:Got ACK from server with UID=8673
CLIENT1:Got ACK from server with UID=8674
CLIENT1:Got ACK from server with UID=8675
CLIENT1:Got ACK from server with UID=8676
CLIENT1:Got ACK from server with UID=8677
